id,nome,latitudine,longitudine,tipo,peso
2,Roma,41.8922000,12.4852000,2,0.0644
3,Farsalo,39.3000000,22.3833330,2,0.0008
9,Alba,41.7469100,12.6502600,2,0.0017
10,Rimini,44.0594440,12.5683330,2,0.0343
24,Ancona,43.6166670,13.5166670,2,0.0008
27,Osimo,43.4860810,13.4821000,2,0.0067
29,Lucera,41.5000000,15.3333330,2,0.0008
30,Corfinio,42.1173900,13.8352490,2,0.0268
32,Brindisi,40.6383330,17.9458330,2,0.0284
33,Durazzo,41.3241670,19.4558330,2,0.0284
34,Alessandria,31.2000000,29.9166670,2,0.0326
36,Salona,43.5350000,16.4850000,2,0.0067
39,Atene,37.9666670,23.7166670,2,0.0008
42,Orico,40.3188890,19.4286110,2,0.0201
57,Cadice,36.5333330,-6.2833330,2,0.0125
58,Marsiglia,43.2975000,5.3772230,2,0.0711
63,Sparta,37.0819440,22.4236110,2,0.0008
65,Clipea,36.8491670,11.0886110,2,0.0017
68,Delfi,38.4833330,22.5000000,2,0.0008
74,Paleste,40.1650000,19.6247220,2,0.0008
75,Lisso,41.7805000,19.6434000,2,0.0117
76,Mitilene,39.1000000,26.5500000,2,0.0017
80,Utica,37.0565280,10.0622580,2,0.0293
85,Larissa,39.6333330,22.4166670,2,0.0050
88,Calidone,38.3780560,21.5327780,2,0.0008
94,Efeso,37.9397220,27.3486110,2,0.0033
101,Tebe,38.3230060,23.3204060,2,0.0008
103,Pelusio,31.0416670,32.5450000,2,0.0017
107,Cirene,32.8166670,21.8500000,2,0.0008
109,Leptis Minor,35.6777780,10.8666670,2,0.0008
115,Ravenna,44.4177780,12.1994440,2,0.0008
116,Capua,41.0833330,14.2500000,2,0.0067
117,Arezzo,43.4630560,11.8780560,2,0.0008
118,Pesaro,43.9101500,12.9133000,2,0.0017
119,Fano,43.8435310,13.0197560,2,0.0008
120,Gubbio,43.3517880,12.5772670,2,0.0033
121,Cingoli,43.3741500,13.2163560,2,0.0017
122,Ascoli Piceno,42.8547220,13.5752780,2,0.0017
