id,nome,latitudine,longitudine,tipo,peso
1,Babilonia,32.5417810,44.4316440,2,0.0048
2,Roma,41.8922000,12.4852000,2,0.1291
3,Farsalo,39.3000000,22.3833330,2,0.0122
4,Perugia,43.1121000,12.3888000,2,0.0005
5,Modena,44.6458200,10.9257200,2,0.0011
6,Leucade,39.8010000,18.3569440,2,0.0005
7,Cirra,38.4334200,22.4400000,2,0.0032
8,Carre,36.8500000,39.2167000,2,0.0005
9,Alba,41.7469100,12.6502600,2,0.0027
10,Rimini,44.0594440,12.5683330,2,0.0005
11,Monaco,43.7333330,7.4166670,2,0.0011
12,Mevania,42.9333330,12.6166670,2,0.0005
13,Micene,37.7166670,22.7500000,2,0.0011
14,Tebe,38.3230060,23.3204060,2,0.0021
15,Cuma,40.8486110,14.0536110,2,0.0016
16,Lucca,43.8500000,10.5166670,2,0.0005
17,Menfi,29.8541200,31.2593400,2,0.0053
18,Filippi,41.0120720,24.2845760,2,0.0032
19,Canne,41.2963890,16.1516670,2,0.0016
20,Susa,32.2000000,48.2500000,2,0.0011
21,Pisa (Elide),37.6440000,21.6540000,2,0.0011
22,Preneste,41.8333330,12.9000000,2,0.0005
23,Pisa,43.7166670,10.4000000,2,0.0005
24,Ancona,43.6166670,13.5166670,2,0.0005
25,Salerno,40.6805560,14.7597220,2,0.0005
26,Luni,44.0640000,10.0170000,2,0.0005
27,Osimo,43.4860810,13.4821000,2,0.0005
28,Ascoli,42.8547220,13.5752780,2,0.0005
29,Lucera,41.5000000,15.3333330,2,0.0005
30,Corfinio,42.1173900,13.8352490,2,0.0011
31,Siene,24.0833330,32.9333330,2,0.0016
32,Brindisi,40.6383330,17.9458330,2,0.0043
33,Durazzo,41.3241670,19.4558330,2,0.0016
34,Alessandria,31.2000000,29.9166670,2,0.0239
35,Pagase,39.3129230,22.9307130,2,0.0011
36,Salona,43.5350000,16.4850000,2,0.0011
37,Focea,38.6675020,26.7580390,2,0.0048
38,Trachis,38.9000000,22.4333330,2,0.0011
39,Atene,37.9666670,23.7166670,2,0.0021
40,Cnosso,35.2979610,25.1631560,2,0.0005
41,Gortina,35.0500000,24.9500000,2,0.0005
42,Orico,40.3188890,19.4286110,2,0.0005
43,Iolco,39.3666670,22.9333330,2,0.0005
44,Arisbe,39.2333330,26.2500000,2,0.0005
45,Pitane,38.9280560,26.9372220,2,0.0005
46,Celene,38.0666670,30.1666670,2,0.0005
47,Ninive,36.3666670,43.1500000,2,0.0005
48,Damasco,33.5111000,36.3064000,2,0.0005
49,Gaza,31.5166670,34.4500000,2,0.0011
50,Tiro,33.2688890,35.2163890,2,0.0037
51,Sidone,33.5614000,35.3750000,2,0.0005
52,Tarso,36.9166670,34.9000000,2,0.0005
53,Corico,36.4652780,34.1541670,2,0.0011
54,Mallo,36.7575000,35.4868000,2,0.0005
55,Ege,36.7696760,35.7894870,2,0.0005
56,Pella,40.7546690,22.5210500,2,0.0058
57,Cadice,36.5333330,-6.2833330,2,0.0027
58,Marsiglia,43.2975000,5.3772230,2,0.0058
59,Sagunto,39.6763890,-0.2733330,2,0.0005
61,Meroe,16.9351390,33.7507500,2,0.0027
62,Iader,44.1000000,15.2166670,2,0.0005
63,Sparta,37.0819440,22.4236110,2,0.0011
64,Lilibeo,37.8027780,12.4291670,2,0.0005
65,Clipea,36.8491670,11.0886110,2,0.0005
66,Cartagine,36.8580080,10.3309040,2,0.0090
67,Veio,42.0238890,12.4013890,2,0.0011
68,Delfi,38.4833330,22.5000000,2,0.0016
69,Caristo,38.0166670,24.4166670,2,0.0005
70,Idro,40.1500000,18.4833330,2,0.0005
71,Taranto,40.4180560,17.2408330,2,0.0005
72,Salpi,41.6070360,15.8957970,2,0.0005
73,Siponto,41.6070360,15.8957970,2,0.0005
74,Paleste,40.1650000,19.6247220,2,0.0005
75,Lisso,41.7805000,19.6434000,2,0.0005
76,Mitilene,39.1000000,26.5500000,2,0.0016
77,Efira,39.2469120,20.5279220,2,0.0005
78,Ariccia,41.7166670,12.6666670,2,0.0005
79,Enna,37.5666670,14.2666670,2,0.0011
80,Utica,37.0565280,10.0622580,2,0.0005
81,Filace,39.2412020,22.6011940,2,0.0005
82,Pteleo,37.9833330,23.6666670,2,0.0005
83,Dorione,37.2500000,21.8333330,2,0.0005
84,Melibea,39.7166670,22.7500000,2,0.0005
85,Larissa,39.6333330,22.4166670,2,0.0011
86,Argo,37.6306140,22.7214630,2,0.0027
87,Tebe di Ftiotide,39.2666670,22.8166670,2,0.0005
88,Calidone,38.3780560,21.5327780,2,0.0005
89,Dodona,39.5463890,20.7877780,2,0.0005
90,Gabii,41.8868890,12.7158330,2,0.0005
91,Cora,41.6444700,12.9126700,2,0.0005
92,Laurento,41.7111110,12.3469440,2,0.0005
93,Zeugma,37.0586110,37.8658330,2,0.0005
94,Efeso,37.9397220,27.3486110,2,0.0005
95,Colofone,38.1155560,27.1422220,2,0.0005
96,Telmesso,36.6513890,29.1230560,2,0.0005
97,Faseli,36.5236110,30.5522220,2,0.0005
98,Siedra,36.4411110,32.1525000,2,0.0005
99,Selino,36.2666670,32.3166670,2,0.0005
100,Battra,36.7500000,66.9000000,2,0.0011
102,Pafo,34.7667000,32.4167000,2,0.0005
103,Pelusio,31.0416670,32.5450000,2,0.0021
104,Canopo,31.3000000,30.0833330,2,0.0011
105,Tebe d'Egitto,25.7205560,32.6102780,2,0.0011
106,Megara Iblea,37.2038170,15.1816580,2,0.0005
107,Cirene,32.8166670,21.8500000,2,0.0011
108,Berenicide,32.1166670,20.0666670,2,0.0005
109,Leptis Minor,35.6777780,10.8666670,2,0.0011
110,Sais,30.9647220,30.7683330,2,0.0005
111,Bisanzio,41.0152780,28.9847220,2,0.0005
112,Calcedonia,40.9833330,29.0333330,2,0.0005
113,Smirne,38.4127300,27.1383800,2,0.0005
114,Lavinio,41.4988890,12.5869440,2,0.0005
116,Capua,41.0833330,14.2500000,2,0.0005
158,Ninfeo,41.8136110,19.5938890,2,0.0005
160,Calcide,38.4625000,23.5950000,2,0.0011
171,Elide,37.8922220,21.3744440,2,0.0005
174,Nemea,37.8166670,22.6666670,2,0.0005
175,Troia,39.9575000,26.2388890,2,0.0058
176,Opitergini,45.6652780,12.2444440,2,0.0005
177,Cidonia,35.5173330,24.0196110,2,0.0005
179,Ambracia,39.1548760,20.9902580,2,0.0005
180,Matino,40.0333330,18.1333330,2,0.0005
181,Munda,37.5865910,-4.6386200,2,0.0016
182,Sesto,40.2166670,26.3833330,2,0.0011
183,Abido,40.1952780,26.4050000,2,0.0011
184,Apono,45.3619000,11.7924000,2,0.0005
185,Ilerda,41.6166670,0.6333330,2,0.0021
186,Corinto,37.9333330,22.9333330,2,0.0005
187,Tessaglia,39.6333330,22.4166670,3,0.0478
188,Scizia,46.5257000,32.2520000,3,0.0112
189,Italia,41.8922000,12.4852000,3,0.0351
190,Frigia,39.9575000,26.2388890,3,0.0043
191,Libia,32.6391670,14.2905560,3,0.0388
192,Gallia,47.0844000,2.3964000,3,0.0117
193,Lazio,41.8922000,12.4852000,3,0.0207
195,Cilicia,36.9166670,34.9000000,3,0.0085
196,Ponto,42.0266670,35.1511110,3,0.0043
197,Tracia,42.6180560,25.3055560,3,0.0021
198,Egitto,27.7744390,30.8011110,3,0.0138
199,Numidia,36.3675000,6.6119440,3,0.0043
200,Grecia,37.9666670,23.7166670,3,0.0122
201,Umbria,43.0700000,12.6175000,3,0.0011
202,Apulia,41.2166670,16.0666670,3,0.0021
203,Armenia,39.9538890,44.5505560,3,0.0043
204,Epiro,40.3188890,19.4286110,3,0.0016
205,Asia,37.9397220,27.3486110,3,0.0011
206,Beozia,38.3230060,23.3204060,3,0.0005
207,Arcadia,37.4000000,22.1333330,3,0.0011
208,Caonia,39.9133330,20.0577780,3,0.0005
209,Colchide,42.1500000,41.6666670,3,0.0027
210,Bistonia,41.0400000,25.1100000,3,0.0021
211,Siria,36.2047220,36.1816670,3,0.0021
212,Persia,32.2000000,48.2500000,3,0.0037
213,Iberia,38.9000000,-6.3333000,3,0.0096
214,Illiria,42.0666670,19.5000000,3,0.0016
215,Africa,36.8580080,10.3309040,3,0.0048
216,Campania,41.0833330,14.2500000,3,0.0005
217,Dalmazia,44.1000000,15.2166670,3,0.0005
218,Calabria,40.3520110,18.1691390,3,0.0005
219,Caledonia,56.1166000,-3.9369000,3,0.0005
220,Pannoni,46.4186110,15.8713890,3,0.0011
221,Cappadocia,38.7333330,35.4833330,3,0.0021
222,Panfilia,36.5438890,31.9977780,3,0.0005
223,Acaia,38.2500000,21.7333330,3,0.0005
237,Misia,39.1166670,27.1833330,3,0.0005
238,Sofene,38.2405030,40.0827390,3,0.0005
239,Doride,16.9351390,33.7507500,3,0.0005
240,Seri,46.5257000,32.2520000,4,0.0016
241,Assiri,36.3666670,43.1500000,4,0.0053
242,Sabini,42.4044300,12.8567020,4,0.0016
243,Mauri,35.7666670,-5.8000000,4,0.0043
244,Parti,33.0936110,44.5808330,4,0.0138
245,Senoni,43.6255560,12.9844440,4,0.0005
246,Cimbri,56.8881670,9.8290730,4,0.0011
247,Teutoni,56.1563890,10.2097220,4,0.0016
248,Etruschi,42.8594440,10.9711110,4,0.0037
249,Lingoni,47.8666670,5.3333330,4,0.0005
250,Ruteni,44.3333330,2.5666670,4,0.0005
251,Nemeti,49.3194440,8.4311110,4,0.0005
252,Tarbelli,43.7166670,-1.0500000,4,0.0011
254,Biturigi,47.0844000,2.3964000,4,0.0005
255,Suessioni,49.3666670,3.3333330,4,0.0005
256,Leuci,48.6833330,5.9000000,4,0.0005
257,Remi,49.2500000,4.0333330,4,0.0005
258,Sequani,47.2500000,6.0333330,4,0.0005
259,Belgi,50.2833330,2.7833330,4,0.0005
260,Arverni,45.7833330,3.0833330,4,0.0005
261,Nervi,50.3000000,3.7833330,4,0.0005
262,Eburoni,50.7833330,5.4666670,4,0.0005
263,Sarmati,46.5257000,32.2520000,4,0.0027
264,Vangioni,49.6319440,8.3652780,4,0.0005
265,Batavi,51.8333300,5.8667000,4,0.0005
266,Treviri,49.7566670,6.6413890,4,0.0005
267,Liguri,44.4071860,8.9339830,4,0.0005
268,Caici,53.5500000,8.5833330,4,0.0005
269,Medi,34.8063890,48.5161110,4,0.0048
270,Massageti,39.5166670,54.3666670,4,0.0011
271,Svevi,51.0492580,13.7383610,4,0.0005
272,Daci,45.6227780,23.3102780,4,0.0016
273,Geti,45.6227780,23.3102780,4,0.0016
274,Sanniti,41.1333330,14.7833330,4,0.0005
275,Marsi,42.0076000,13.6238100,4,0.0016
278,Vestini,42.4500000,13.9166670,4,0.0005
280,Dahi,39.5166670,54.3666670,4,0.0011
281,Britanni,51.5125000,-0.0906000,4,0.0021
282,Arabi,12.8000000,45.0333330,4,0.0048
283,Eniochi,43.0000000,41.0166670,4,0.0011
284,Giudei,31.7833330,35.2166670,4,0.0005
285,Macedoni,40.7546690,22.5210500,4,0.0037
286,Sicani,37.5666670,14.2666670,4,0.0005
287,Tesproti,39.2469120,20.5279220,4,0.0005
288,Driopi,38.8286000,22.2886100,4,0.0005
289,Selloi,39.5463890,20.7877780,4,0.0005
290,Atamane,37.6306140,22.7214630,4,0.0005
291,Encheli,40.7216720,19.4726580,4,0.0005
292,Fenici,33.5614000,35.3750000,4,0.0005
293,Oresti,40.0833330,21.4166670,4,0.0005
294,Carmani,30.2833330,57.0666670,4,0.0005
295,Etiopi,14.1283970,38.7172570,4,0.0037
296,Moschi,41.6388890,42.9861110,4,0.0005
297,Essedoni,42.1500000,41.6666670,4,0.0005
298,Arimaspi,46.5257000,32.2520000,4,0.0011
299,Arii,34.3419440,62.2030560,4,0.0005
300,Geloni,47.2705560,39.3413890,4,0.0005
301,Asturi,42.4500000,-6.0500000,4,0.0011
302,Vettoni,40.1666000,-6.1010000,4,0.0005
303,Celtiberi,41.8095860,-2.4442580,4,0.0005
304,Nabatei,30.3288890,35.4402780,4,0.0005
305,Indi,29.3491670,71.0280560,4,0.0021
306,Veneti,45.4063890,11.8777780,4,0.0005
307,Garamanti,26.5333330,13.0666670,4,0.0027
308,Curicti,45.0666670,14.6000000,4,0.0005
309,Istriani,44.9166670,13.9697220,4,0.0005
