Babilonia_32.541781, 44.431644_2
Roma_41.8922, 12.4852_2
Farsalo_39.3, 22.383333_2
Perugia_43.1121, 12.3888_2
Modena_44.64582, 10.92572_2
Leucade_39.801, 18.356944_2
Cirra_38.43342, 22.44_2
Carre_36.85, 39.2167_2
Alba_41.74691, 12.65026_2
Rimini_44.059444, 12.568333_2
Monaco_43.733333, 7.416667_2
Mevania_42.933333, 12.616667_2
Micene_37.716667, 22.75_2
Tebe_38.323006, 23.320406_2
Cuma_40.848611, 14.053611_2
Lucca_43.85, 10.516667_2
Menfi_29.85412, 31.25934_2
Filippi_41.012072, 24.284576_2
Canne_41.296389, 16.151667_2
Susa_32.2, 48.25_2
Pisa (Elide)_37.644, 21.654_2
Preneste_41.833333, 12.9_2
Pisa_43.716667, 10.4_2
Ancona_43.616667, 13.516667_2
Salerno_40.680556, 14.759722_2
Luni_44.064, 10.017_2
Osimo_43.486081, 13.4821_2
Ascoli_42.854722, 13.575278_2
Lucera_41.5, 15.333333_2
Corfinio_42.11739, 13.835249_2
Siene_24.083333, 32.933333_2
Brindisi_40.638333, 17.945833_2
Durazzo_41.324167, 19.455833_2
Alessandria_31.2, 29.916667_2
Pagase_39.312923, 22.930713_2
Salona_43.535, 16.485_2
Focea_38.667502, 26.758039_2
Trachis_38.9, 22.433333_2
Atene_37.966667, 23.716667_2
Cnosso_35.297961, 25.163156_2
Gortina_35.05, 24.95_2
Orico_40.318889, 19.428611_2
Iolco_39.366667, 22.933333_2
Arisbe_39.233333, 26.25_2
Pitane_38.928056, 26.937222_2
Celene_38.066667, 30.166667_2
Ninive_36.366667, 43.15_2
Damasco_33.5111, 36.3064_2
Gaza_31.516667, 34.45_2
Tiro_33.268889, 35.216389_2
Sidone_33.5614, 35.375_2
Tarso_36.916667, 34.9_2
Corico_36.465278, 34.154167_2
Mallo_36.7575, 35.4868_2
Ege_36.769676, 35.789487_2
Pella_40.754669, 22.52105_2
Cadice_36.533333, -6.283333_2
Marsiglia_43.2975, 5.377223_2
Sagunto_39.676389, -0.273333_2
Llerda_41.616667, 0.633333_2
Meroe_16.935139, 33.75075_2
Iader_44.1, 15.216667_2
Sparta_37.081944, 22.423611_2
Lilibeo_37.802778, 12.429167_2
Clipea_36.849167, 11.088611_2
Cartagine_36.858008, 10.330904_2
Veio_42.023889, 12.401389_2
Delfi_38.483333, 22.5_2
Caristo_38.016667, 24.416667_2
Idro_40.15, 18.483333_2
Taranto_40.418056, 17.240833_2
Salpi_41.607036, 15.895797_2
Siponto_41.607036, 15.895797_2
Paleste_40.165, 19.624722_2
Lisso_41.7805, 19.6434_2
Mitilene_39.1, 26.55_2
Efira_39.246912, 20.527922_2
Ariccia_41.716667, 12.666667_2
Enna_37.566667, 14.266667_2
Utica_37.056528, 10.062258_2
Filace_39.241202, 22.601194_2
Pteleo_37.983333, 23.666667_2
Dorione_37.25, 21.833333_2
Melibea_39.716667, 22.75_2
Larissa_39.633333, 22.416667_2
Argo_37.630614, 22.721463_2
Tebe di Ftiotide_39.266667, 22.816667_2
Calidone_38.378056, 21.532778_2
Dodona_39.546389, 20.787778_2
Gabii_41.886889, 12.715833_2
Cora_41.64447, 12.91267_2
Laurento_41.711111, 12.346944_2
Zeugma_37.058611, 37.865833_2
Efeso_37.939722, 27.348611_2
Colofone_38.115556, 27.142222_2
Telmesso_36.651389, 29.123056_2
Faseli_36.523611, 30.552222_2
Siedra_36.441111, 32.1525_2
Selino_36.266667, 32.316667_2
Battra_36.75, 66.9_2
Tebe_38.323006, 23.320406_2
Pafo_34.7667, 32.4167_2
Pelusio_31.041667, 32.545_2
Canopo_31.3, 30.083333_2
Tebe d'Egitto_25.720556, 32.610278_2
Megara Iblea_37.203817, 15.181658_2
Cirene_32.816667, 21.85_2
Berenicide_32.116667, 20.066667_2
Leptis Minor_35.677778, 10.866667_2
Sais_30.964722, 30.768333_2
Bisanzio_41.015278, 28.984722_2
Calcedonia_40.983333, 29.033333_2
Smirne_38.41273, 27.13838_2
Lavinio_41.498889, 12.586944_2
Ravenna_44.417778, 12.199444_2
Capua_41.083333, 14.25_2
Arezzo_43.463056, 11.878056_2
Pesaro_43.91015, 12.9133_2
Fano_43.843531, 13.019756_2
Gubbio_43.351788, 12.577267_2
Cingoli_43.37415, 13.216356_2
Ascoli Piceno_42.854722, 13.575278_2
Camerino_43.131819, 13.063831_2
Fermo_43.160419, 13.7181_2
Sulmona_42.048025, 13.926198_2
Canosa_41.216667, 16.066667_2
Terracina_41.283333, 13.25_2
Cremona_45.133333, 10.033333_2
Cagliari_39.216667, 9.116667_2
Cosa_42.410833, 11.286389_2
Arles_43.666667, 4.633333_2
Narbona_43.183333, 3_2
Osca_42.133333, -0.416667_2
Calaguris_42.3156, -0.6242_2
Octogesa_41.3667, 0.3_2
Terragona_41.11868, 1.24532_2
Messina_38.183333, 15.55_2
Tauroento_43.183333, 5.716667_2
Ispali_37.446667, -6.083333_2
Cordova_37.883333, -4.766667_2
Carmona_37.466667, -5.633333_2
Italica_37.441798, -6.044894_2
Anquillaria_37.05, 11.016667_2
Adrumeto_35.824444, 10.638889_2
Campo Cornelio_37.0625, 10.118333_2
Apollonia_40.721672, 19.472658_2
Billide_40.5403, 19.7375_2
Amanzia_40.376944, 19.699722_2
Eraclea Lincestide_41.010833, 21.3425_2
Pozzuoli_40.823056, 14.122222_2
Gergovia_45.701, 3.1272_2
Butroto_39.746067, 20.020534_2
Turii_39.717222, 16.495556_2
Casilino_41.105556, 14.213889_2
Napoli_40.833333, 14.25_2
Compsa_40.8693, 15.3308_2
Asparagio_41.324167, 19.455833_2
Ninfeo_41.813611, 19.593889_2
Pergamo_39.116667, 27.183333_2
Calcide_38.4625, 23.595_2
Naupatto_38.391667, 21.8275_2
Alesia_47.539216, 4.501508_2
Avaricum_47.0844, 2.3964_2
Orcomeno_38.493269, 22.974947_2
Eginio_39.7, 21.633333_2
Gomfi_39.45, 21.683333_2
Metropoli_39.337009, 21.832564_2
Vibo_38.675278, 16.0959_2
Anfpoli_40.816667, 23.85_2
Antiochia_36.204722, 36.181667_2
Elide_37.892222, 21.374444_2
Tolemaide_32.707139, 20.951889_2
Tralle_37.859993, 27.835472_2
Nemea_37.816667, 22.666667_2
Troia_39.9575, 26.238889_2
Opitergini_45.665278, 12.244444_2
Cidonia_35.517333, 24.019611_2
Issa_43.05, 16.183333_2
Ambracia_39.154876, 20.990258_2
Matino_40.033333, 18.133333_2
Munda_37.586591, 4.63862_2
Sesto_40.216667, 26.383333_2
Abido_40.195278, 26.405_2
Apono_45.3619, 11.7924_2
Ilerda_41.616667, 0.633333_2
Corinto_37.933333, 22.933333_2
Tessaglia_39.633333, 22.416667_3
Scizia_46.5257, 32.252_3
Italia_41.8922, 12.4852_3
Frigia_39.9575, 26.238889_3
Libia_32.639167, 14.290556_3
Gallia_47.0844, 2.3964_3
Lazio_41.8922, 12.4852_3
Ircania_36.563333, 53.06_3
Cilicia_36.916667, 34.9_3
Ponto_42.026667, 35.151111_3
Tracia_42.618056, 25.305556_3
Egitto_27.774439, 30.801111_3
Numidia_36.3675, 6.611944_3
Grecia_37.966667, 23.716667_3
Umbria_43.07, 12.6175_3
Apulia_41.216667, 16.066667_3
Armenia_39.953889, 44.550556_3
Epiro_40.318889, 19.428611_3
Asia_37.939722, 27.348611_3
Beozia_38.323006, 23.320406_3
Arcadia_37.4, 22.133333_3
Caonia_39.913333, 20.057778_3
Colchide_42.15, 41.666667_3
Bistonia_41.04, 25.11_3
Siria_36.204722, 36.181667_3
Persia_32.2, 48.25_3
Iberia_38.9, -6.3333_3
Illiria_42.066667, 19.5_3
Africa_36.858008, 10.330904_3
Campania_41.083333, 14.25_3
Dalmazia_44.1, 15.216667_3
Calabria_40.352011, 18.169139_3
Caledonia_56.1166, -3.9369_3
Pannoni_46.418611, 15.871389_3
Cappadocia_38.733333, 35.483333_3
Panfilia_36.543889, 31.997778_3
Acaia_38.25, 21.733333_3
il Piceno_42.854722, 13.575278_3
Noricum_46.701111, 14.431111_3
Lucania_40.633333, 15.8_3
Bruzzio_39.3, 16.25_3
Gallia Ulteriore_50.283333, 2.783333_3
Gallia Citeriore_45.462907, 9.185321_3
Spagna Ulteriore_41.11868, 1.24532_3
Spagna Citeriore_37.883333, -4.766667_3
Lusitania_38.71222, -9.133973_3
Bitinia_40.7625, 29.9175_3
Etolia_38.559444, 21.668056_3
Acarnania_38.383333, 21.433333_3
